"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkönkulutus Suomessa"
"2018-06-03 03:00:00","2018-06-03 04:00:00","2018-06-03 05:00:00","2018-06-03 06:00:00","6830.0"
"2018-06-03 04:00:00","2018-06-03 05:00:00","2018-06-03 06:00:00","2018-06-03 07:00:00","6973.0"
"2018-06-03 05:00:00","2018-06-03 06:00:00","2018-06-03 07:00:00","2018-06-03 08:00:00","7292.0"
"2018-06-03 06:00:00","2018-06-03 07:00:00","2018-06-03 08:00:00","2018-06-03 09:00:00","7505.0"
"2018-06-03 07:00:00","2018-06-03 08:00:00","2018-06-03 09:00:00","2018-06-03 10:00:00","7658.0"
"2018-06-03 08:00:00","2018-06-03 09:00:00","2018-06-03 10:00:00","2018-06-03 11:00:00","7714.0"
"2018-06-03 09:00:00","2018-06-03 10:00:00","2018-06-03 11:00:00","2018-06-03 12:00:00","7853.0"
"2018-06-03 10:00:00","2018-06-03 11:00:00","2018-06-03 12:00:00","2018-06-03 13:00:00","7828.0"
"2018-06-03 11:00:00","2018-06-03 12:00:00","2018-06-03 13:00:00","2018-06-03 14:00:00","7774.0"
"2018-06-03 12:00:00","2018-06-03 13:00:00","2018-06-03 14:00:00","2018-06-03 15:00:00","7752.0"
"2018-06-03 13:00:00","2018-06-03 14:00:00","2018-06-03 15:00:00","2018-06-03 16:00:00","7764.0"
"2018-06-03 14:00:00","2018-06-03 15:00:00","2018-06-03 16:00:00","2018-06-03 17:00:00","7727.0"
"2018-06-03 15:00:00","2018-06-03 16:00:00","2018-06-03 17:00:00","2018-06-03 18:00:00","7786.0"
"2018-06-03 16:00:00","2018-06-03 17:00:00","2018-06-03 18:00:00","2018-06-03 19:00:00","7864.0"
"2018-06-03 17:00:00","2018-06-03 18:00:00","2018-06-03 19:00:00","2018-06-03 20:00:00","7848.0"
"2018-06-03 18:00:00","2018-06-03 19:00:00","2018-06-03 20:00:00","2018-06-03 21:00:00","7735.0"
"2018-06-03 19:00:00","2018-06-03 20:00:00","2018-06-03 21:00:00","2018-06-03 22:00:00","7921.0"
"2018-06-03 20:00:00","2018-06-03 21:00:00","2018-06-03 22:00:00","2018-06-03 23:00:00","7898.0"
"2018-06-03 21:00:00","2018-06-03 22:00:00","2018-06-03 23:00:00","2018-06-04 00:00:00","7568.0"
"2018-06-03 22:00:00","2018-06-03 23:00:00","2018-06-04 00:00:00","2018-06-04 01:00:00","7275.0"
"2018-06-03 23:00:00","2018-06-04 00:00:00","2018-06-04 01:00:00","2018-06-04 02:00:00","7097.0"
"2018-06-04 00:00:00","2018-06-04 01:00:00","2018-06-04 02:00:00","2018-06-04 03:00:00","6980.0"
"2018-06-04 01:00:00","2018-06-04 02:00:00","2018-06-04 03:00:00","2018-06-04 04:00:00","7033.0"
"2018-06-04 02:00:00","2018-06-04 03:00:00","2018-06-04 04:00:00","2018-06-04 05:00:00","7226.0"
"2018-06-04 03:00:00","2018-06-04 04:00:00","2018-06-04 05:00:00","2018-06-04 06:00:00","7952.0"
"2018-06-04 04:00:00","2018-06-04 05:00:00","2018-06-04 06:00:00","2018-06-04 07:00:00","8514.0"
"2018-06-04 05:00:00","2018-06-04 06:00:00","2018-06-04 07:00:00","2018-06-04 08:00:00","8837.0"
"2018-06-04 06:00:00","2018-06-04 07:00:00","2018-06-04 08:00:00","2018-06-04 09:00:00","8952.0"
"2018-06-04 07:00:00","2018-06-04 08:00:00","2018-06-04 09:00:00","2018-06-04 10:00:00","9038.0"
"2018-06-04 08:00:00","2018-06-04 09:00:00","2018-06-04 10:00:00","2018-06-04 11:00:00","9058.0"
"2018-06-04 09:00:00","2018-06-04 10:00:00","2018-06-04 11:00:00","2018-06-04 12:00:00","9174.0"
"2018-06-04 10:00:00","2018-06-04 11:00:00","2018-06-04 12:00:00","2018-06-04 13:00:00","9066.0"
"2018-06-04 11:00:00","2018-06-04 12:00:00","2018-06-04 13:00:00","2018-06-04 14:00:00","8939.0"
"2018-06-04 12:00:00","2018-06-04 13:00:00","2018-06-04 14:00:00","2018-06-04 15:00:00","8878.0"
"2018-06-04 13:00:00","2018-06-04 14:00:00","2018-06-04 15:00:00","2018-06-04 16:00:00","8781.0"
"2018-06-04 14:00:00","2018-06-04 15:00:00","2018-06-04 16:00:00","2018-06-04 17:00:00","8775.0"
"2018-06-04 15:00:00","2018-06-04 16:00:00","2018-06-04 17:00:00","2018-06-04 18:00:00","8719.0"
"2018-06-04 16:00:00","2018-06-04 17:00:00","2018-06-04 18:00:00","2018-06-04 19:00:00","8775.0"
"2018-06-04 17:00:00","2018-06-04 18:00:00","2018-06-04 19:00:00","2018-06-04 20:00:00","8672.0"
"2018-06-04 18:00:00","2018-06-04 19:00:00","2018-06-04 20:00:00","2018-06-04 21:00:00","8412.0"
"2018-06-04 19:00:00","2018-06-04 20:00:00","2018-06-04 21:00:00","2018-06-04 22:00:00","8466.0"
"2018-06-04 20:00:00","2018-06-04 21:00:00","2018-06-04 22:00:00","2018-06-04 23:00:00","8406.0"
"2018-06-04 21:00:00","2018-06-04 22:00:00","2018-06-04 23:00:00","2018-06-05 00:00:00","7970.0"
"2018-06-04 22:00:00","2018-06-04 23:00:00","2018-06-05 00:00:00","2018-06-05 01:00:00","7656.0"
"2018-06-04 23:00:00","2018-06-05 00:00:00","2018-06-05 01:00:00","2018-06-05 02:00:00","7502.0"
"2018-06-05 00:00:00","2018-06-05 01:00:00","2018-06-05 02:00:00","2018-06-05 03:00:00","7353.0"
"2018-06-05 01:00:00","2018-06-05 02:00:00","2018-06-05 03:00:00","2018-06-05 04:00:00","7317.0"
"2018-06-05 02:00:00","2018-06-05 03:00:00","2018-06-05 04:00:00","2018-06-05 05:00:00","7545.0"
"2018-06-05 03:00:00","2018-06-05 04:00:00","2018-06-05 05:00:00","2018-06-05 06:00:00","8259.0"
"2018-06-05 04:00:00","2018-06-05 05:00:00","2018-06-05 06:00:00","2018-06-05 07:00:00","8753.0"
"2018-06-05 05:00:00","2018-06-05 06:00:00","2018-06-05 07:00:00","2018-06-05 08:00:00","9042.0"
"2018-06-05 06:00:00","2018-06-05 07:00:00","2018-06-05 08:00:00","2018-06-05 09:00:00","9211.0"
"2018-06-05 07:00:00","2018-06-05 08:00:00","2018-06-05 09:00:00","2018-06-05 10:00:00","9242.0"
"2018-06-05 08:00:00","2018-06-05 09:00:00","2018-06-05 10:00:00","2018-06-05 11:00:00","9233.0"
"2018-06-05 09:00:00","2018-06-05 10:00:00","2018-06-05 11:00:00","2018-06-05 12:00:00","9271.0"
"2018-06-05 10:00:00","2018-06-05 11:00:00","2018-06-05 12:00:00","2018-06-05 13:00:00","9183.0"
"2018-06-05 11:00:00","2018-06-05 12:00:00","2018-06-05 13:00:00","2018-06-05 14:00:00","9113.0"
"2018-06-05 12:00:00","2018-06-05 13:00:00","2018-06-05 14:00:00","2018-06-05 15:00:00","9053.0"
"2018-06-05 13:00:00","2018-06-05 14:00:00","2018-06-05 15:00:00","2018-06-05 16:00:00","8908.0"
"2018-06-05 14:00:00","2018-06-05 15:00:00","2018-06-05 16:00:00","2018-06-05 17:00:00","8875.0"
"2018-06-05 15:00:00","2018-06-05 16:00:00","2018-06-05 17:00:00","2018-06-05 18:00:00","8857.0"
"2018-06-05 16:00:00","2018-06-05 17:00:00","2018-06-05 18:00:00","2018-06-05 19:00:00","8939.0"
"2018-06-05 17:00:00","2018-06-05 18:00:00","2018-06-05 19:00:00","2018-06-05 20:00:00","8920.0"
"2018-06-05 18:00:00","2018-06-05 19:00:00","2018-06-05 20:00:00","2018-06-05 21:00:00","8558.0"
"2018-06-05 19:00:00","2018-06-05 20:00:00","2018-06-05 21:00:00","2018-06-05 22:00:00","8689.0"
"2018-06-05 20:00:00","2018-06-05 21:00:00","2018-06-05 22:00:00","2018-06-05 23:00:00","8590.0"
"2018-06-05 21:00:00","2018-06-05 22:00:00","2018-06-05 23:00:00","2018-06-06 00:00:00","8144.0"
"2018-06-05 22:00:00","2018-06-05 23:00:00","2018-06-06 00:00:00","2018-06-06 01:00:00","7829.0"
"2018-06-05 23:00:00","2018-06-06 00:00:00","2018-06-06 01:00:00","2018-06-06 02:00:00","7621.0"
"2018-06-06 00:00:00","2018-06-06 01:00:00","2018-06-06 02:00:00","2018-06-06 03:00:00","7413.0"
"2018-06-06 01:00:00","2018-06-06 02:00:00","2018-06-06 03:00:00","2018-06-06 04:00:00","7431.0"
"2018-06-06 02:00:00","2018-06-06 03:00:00","2018-06-06 04:00:00","2018-06-06 05:00:00","7585.0"
"2018-06-06 03:00:00","2018-06-06 04:00:00","2018-06-06 05:00:00","2018-06-06 06:00:00","8294.0"
"2018-06-06 04:00:00","2018-06-06 05:00:00","2018-06-06 06:00:00","2018-06-06 07:00:00","8716.0"
"2018-06-06 05:00:00","2018-06-06 06:00:00","2018-06-06 07:00:00","2018-06-06 08:00:00","8862.0"
"2018-06-06 06:00:00","2018-06-06 07:00:00","2018-06-06 08:00:00","2018-06-06 09:00:00","8919.0"
"2018-06-06 07:00:00","2018-06-06 08:00:00","2018-06-06 09:00:00","2018-06-06 10:00:00","8887.0"
"2018-06-06 08:00:00","2018-06-06 09:00:00","2018-06-06 10:00:00","2018-06-06 11:00:00","8963.0"
"2018-06-06 09:00:00","2018-06-06 10:00:00","2018-06-06 11:00:00","2018-06-06 12:00:00","8958.0"
"2018-06-06 10:00:00","2018-06-06 11:00:00","2018-06-06 12:00:00","2018-06-06 13:00:00","8923.0"
"2018-06-06 11:00:00","2018-06-06 12:00:00","2018-06-06 13:00:00","2018-06-06 14:00:00","8881.0"
"2018-06-06 12:00:00","2018-06-06 13:00:00","2018-06-06 14:00:00","2018-06-06 15:00:00","8965.0"
"2018-06-06 13:00:00","2018-06-06 14:00:00","2018-06-06 15:00:00","2018-06-06 16:00:00","8892.0"
"2018-06-06 14:00:00","2018-06-06 15:00:00","2018-06-06 16:00:00","2018-06-06 17:00:00","8947.0"
"2018-06-06 15:00:00","2018-06-06 16:00:00","2018-06-06 17:00:00","2018-06-06 18:00:00","8962.0"
"2018-06-06 16:00:00","2018-06-06 17:00:00","2018-06-06 18:00:00","2018-06-06 19:00:00","9001.0"
"2018-06-06 17:00:00","2018-06-06 18:00:00","2018-06-06 19:00:00","2018-06-06 20:00:00","8922.0"
"2018-06-06 18:00:00","2018-06-06 19:00:00","2018-06-06 20:00:00","2018-06-06 21:00:00","8595.0"
"2018-06-06 19:00:00","2018-06-06 20:00:00","2018-06-06 21:00:00","2018-06-06 22:00:00","8614.0"
"2018-06-06 20:00:00","2018-06-06 21:00:00","2018-06-06 22:00:00","2018-06-06 23:00:00","8564.0"
"2018-06-06 21:00:00","2018-06-06 22:00:00","2018-06-06 23:00:00","2018-06-07 00:00:00","8175.0"
"2018-06-06 22:00:00","2018-06-06 23:00:00","2018-06-07 00:00:00","2018-06-07 01:00:00","7896.0"
"2018-06-06 23:00:00","2018-06-07 00:00:00","2018-06-07 01:00:00","2018-06-07 02:00:00","7731.0"
"2018-06-07 00:00:00","2018-06-07 01:00:00","2018-06-07 02:00:00","2018-06-07 03:00:00","7602.0"
"2018-06-07 01:00:00","2018-06-07 02:00:00","2018-06-07 03:00:00","2018-06-07 04:00:00","7602.0"
"2018-06-07 02:00:00","2018-06-07 03:00:00","2018-06-07 04:00:00","2018-06-07 05:00:00","7792.0"
"2018-06-07 03:00:00","2018-06-07 04:00:00","2018-06-07 05:00:00","2018-06-07 06:00:00","8468.0"
"2018-06-07 04:00:00","2018-06-07 05:00:00","2018-06-07 06:00:00","2018-06-07 07:00:00","8983.0"
"2018-06-07 05:00:00","2018-06-07 06:00:00","2018-06-07 07:00:00","2018-06-07 08:00:00","9274.0"
"2018-06-07 06:00:00","2018-06-07 07:00:00","2018-06-07 08:00:00","2018-06-07 09:00:00","9297.0"
"2018-06-07 07:00:00","2018-06-07 08:00:00","2018-06-07 09:00:00","2018-06-07 10:00:00","9300.0"
"2018-06-07 08:00:00","2018-06-07 09:00:00","2018-06-07 10:00:00","2018-06-07 11:00:00","9304.0"
"2018-06-07 09:00:00","2018-06-07 10:00:00","2018-06-07 11:00:00","2018-06-07 12:00:00","9318.0"
"2018-06-07 10:00:00","2018-06-07 11:00:00","2018-06-07 12:00:00","2018-06-07 13:00:00","9264.0"
"2018-06-07 11:00:00","2018-06-07 12:00:00","2018-06-07 13:00:00","2018-06-07 14:00:00","9234.0"
"2018-06-07 12:00:00","2018-06-07 13:00:00","2018-06-07 14:00:00","2018-06-07 15:00:00","9099.0"
"2018-06-07 13:00:00","2018-06-07 14:00:00","2018-06-07 15:00:00","2018-06-07 16:00:00","9111.0"
"2018-06-07 14:00:00","2018-06-07 15:00:00","2018-06-07 16:00:00","2018-06-07 17:00:00","9238.0"
"2018-06-07 15:00:00","2018-06-07 16:00:00","2018-06-07 17:00:00","2018-06-07 18:00:00","9066.0"
"2018-06-07 16:00:00","2018-06-07 17:00:00","2018-06-07 18:00:00","2018-06-07 19:00:00","9068.0"
"2018-06-07 17:00:00","2018-06-07 18:00:00","2018-06-07 19:00:00","2018-06-07 20:00:00","9067.0"
"2018-06-07 18:00:00","2018-06-07 19:00:00","2018-06-07 20:00:00","2018-06-07 21:00:00","8725.0"
"2018-06-07 19:00:00","2018-06-07 20:00:00","2018-06-07 21:00:00","2018-06-07 22:00:00","8777.0"
"2018-06-07 20:00:00","2018-06-07 21:00:00","2018-06-07 22:00:00","2018-06-07 23:00:00","8671.0"
"2018-06-07 21:00:00","2018-06-07 22:00:00","2018-06-07 23:00:00","2018-06-08 00:00:00","8208.0"
"2018-06-07 22:00:00","2018-06-07 23:00:00","2018-06-08 00:00:00","2018-06-08 01:00:00","7944.0"
"2018-06-07 23:00:00","2018-06-08 00:00:00","2018-06-08 01:00:00","2018-06-08 02:00:00","7766.0"
"2018-06-08 00:00:00","2018-06-08 01:00:00","2018-06-08 02:00:00","2018-06-08 03:00:00","7668.0"
"2018-06-08 01:00:00","2018-06-08 02:00:00","2018-06-08 03:00:00","2018-06-08 04:00:00","7655.0"
"2018-06-08 02:00:00","2018-06-08 03:00:00","2018-06-08 04:00:00","2018-06-08 05:00:00","7913.0"
"2018-06-08 03:00:00","2018-06-08 04:00:00","2018-06-08 05:00:00","2018-06-08 06:00:00","8554.0"
"2018-06-08 04:00:00","2018-06-08 05:00:00","2018-06-08 06:00:00","2018-06-08 07:00:00","8990.0"
"2018-06-08 05:00:00","2018-06-08 06:00:00","2018-06-08 07:00:00","2018-06-08 08:00:00","9132.0"
"2018-06-08 06:00:00","2018-06-08 07:00:00","2018-06-08 08:00:00","2018-06-08 09:00:00","9283.0"
"2018-06-08 07:00:00","2018-06-08 08:00:00","2018-06-08 09:00:00","2018-06-08 10:00:00","9288.0"
"2018-06-08 08:00:00","2018-06-08 09:00:00","2018-06-08 10:00:00","2018-06-08 11:00:00","9261.0"
"2018-06-08 09:00:00","2018-06-08 10:00:00","2018-06-08 11:00:00","2018-06-08 12:00:00","9229.0"
"2018-06-08 10:00:00","2018-06-08 11:00:00","2018-06-08 12:00:00","2018-06-08 13:00:00","9118.0"
"2018-06-08 11:00:00","2018-06-08 12:00:00","2018-06-08 13:00:00","2018-06-08 14:00:00","8982.0"
"2018-06-08 12:00:00","2018-06-08 13:00:00","2018-06-08 14:00:00","2018-06-08 15:00:00","8934.0"
"2018-06-08 13:00:00","2018-06-08 14:00:00","2018-06-08 15:00:00","2018-06-08 16:00:00","8960.0"
"2018-06-08 14:00:00","2018-06-08 15:00:00","2018-06-08 16:00:00","2018-06-08 17:00:00","8985.0"
"2018-06-08 15:00:00","2018-06-08 16:00:00","2018-06-08 17:00:00","2018-06-08 18:00:00","8943.0"
"2018-06-08 16:00:00","2018-06-08 17:00:00","2018-06-08 18:00:00","2018-06-08 19:00:00","8938.0"
"2018-06-08 17:00:00","2018-06-08 18:00:00","2018-06-08 19:00:00","2018-06-08 20:00:00","8884.0"
"2018-06-08 18:00:00","2018-06-08 19:00:00","2018-06-08 20:00:00","2018-06-08 21:00:00","8453.0"
"2018-06-08 19:00:00","2018-06-08 20:00:00","2018-06-08 21:00:00","2018-06-08 22:00:00","8540.0"
"2018-06-08 20:00:00","2018-06-08 21:00:00","2018-06-08 22:00:00","2018-06-08 23:00:00","8476.0"
"2018-06-08 21:00:00","2018-06-08 22:00:00","2018-06-08 23:00:00","2018-06-09 00:00:00","8084.0"
"2018-06-08 22:00:00","2018-06-08 23:00:00","2018-06-09 00:00:00","2018-06-09 01:00:00","7790.0"
"2018-06-08 23:00:00","2018-06-09 00:00:00","2018-06-09 01:00:00","2018-06-09 02:00:00","7617.0"
"2018-06-09 00:00:00","2018-06-09 01:00:00","2018-06-09 02:00:00","2018-06-09 03:00:00","7488.0"
"2018-06-09 01:00:00","2018-06-09 02:00:00","2018-06-09 03:00:00","2018-06-09 04:00:00","7469.0"
"2018-06-09 02:00:00","2018-06-09 03:00:00","2018-06-09 04:00:00","2018-06-09 05:00:00","7498.0"
"2018-06-09 03:00:00","2018-06-09 04:00:00","2018-06-09 05:00:00","2018-06-09 06:00:00","7590.0"
"2018-06-09 04:00:00","2018-06-09 05:00:00","2018-06-09 06:00:00","2018-06-09 07:00:00","7677.0"
"2018-06-09 05:00:00","2018-06-09 06:00:00","2018-06-09 07:00:00","2018-06-09 08:00:00","7982.0"
"2018-06-09 06:00:00","2018-06-09 07:00:00","2018-06-09 08:00:00","2018-06-09 09:00:00","8099.0"
"2018-06-09 07:00:00","2018-06-09 08:00:00","2018-06-09 09:00:00","2018-06-09 10:00:00","8137.0"
