2016-01-01, 10530.833333333334
2016-01-02, 11223.125
2016-01-03, 11218.333333333334
2016-01-04, 12374.75
2016-01-05, 13002.541666666666
2016-01-06, 13231.666666666666
2016-01-07, 14282.916666666666
2016-01-08, 14052.708333333334
2016-01-09, 12790.583333333334
2016-01-10, 12508.25
2016-01-11, 12858.21052631579
2016-01-12, 12662.708333333334
2016-01-13, 12901.25
2016-01-14, 12852.541666666666
2016-01-15, 12995.791666666666
2016-01-16, 12642.458333333334
2016-01-17, 12405.458333333334
2016-01-18, 13606.708333333334
2016-01-19, 13526.375
2016-01-20, 13689.208333333334
2016-01-21, 13688.041666666666
2016-01-22, 13930.833333333334
2016-01-23, 11954.083333333334
2016-01-24, 10948.833333333334
2016-01-25, 11592.208333333334
2016-01-26, 11415.791666666666
2016-01-27, 10904.916666666666
2016-01-28, 10995.5
2016-01-29, 11231.217391304348
2016-01-30, 10218.125
2016-01-31, 9969.75
2016-02-01, 11019.375
2016-02-02, 11195.125
2016-02-03, 11142.958333333334
2016-02-04, 11324.208333333334
2016-02-05, 11484.583333333334
2016-02-06, 10852.5
2016-02-07, 10019.5
2016-02-08, 10655.916666666666
2016-02-09, 10666.833333333334
2016-02-10, 10530.833333333334
2016-02-11, 10505.166666666666
2016-02-12, 10867.375
2016-02-13, 10235.833333333334
2016-02-14, 9993.5
2016-02-15, 10872.041666666666
2016-02-16, 11059.416666666666
2016-02-17, 11077.583333333334
2016-02-18, 11043.375
2016-02-19, 11074.833333333334
2016-02-20, 10339.125
2016-02-21, 10091.916666666666
2016-02-22, 10942.833333333334
2016-02-23, 11003.541666666666
2016-02-24, 10953.958333333334
2016-02-25, 10895.041666666666
2016-02-26, 11226.208333333334
2016-02-27, 10774.083333333334
2016-02-28, 10237.041666666666
2016-02-29, 11161.125
2016-03-01, 10935.541666666666
2016-03-02, 10962.541666666666
2016-03-03, 11265.958333333334
2016-03-04, 11206.0
2016-03-05, 10301.458333333334
2016-03-06, 9918.833333333334
2016-03-07, 10660.916666666666
2016-03-08, 10646.833333333334
2016-03-09, 10512.791666666666
2016-03-10, 10501.416666666666
2016-03-11, 10694.625
2016-03-12, 10199.0
2016-03-13, 9990.708333333334
2016-03-14, 10454.75
2016-03-15, 10135.666666666666
2016-03-16, 9858.3
2016-03-17, 9918.03125
2016-03-18, 10800.208333333334
2016-03-19, 10344.208333333334
2016-03-20, 10036.25
2016-03-21, 10690.5
2016-03-22, 10779.333333333334
2016-03-23, 10794.333333333334
2016-03-24, 10632.083333333334
2016-03-25, 9913.041666666666
2016-03-26, 9579.458333333334
2016-03-27, 9085.875
2016-03-28, 9082.625
2016-03-29, 9673.083333333334
2016-03-30, 9903.375
2016-03-31, 9973.0
2016-04-01, 10048.583333333334
2016-04-02, 9429.958333333334
2016-04-03, 9150.208333333334
2016-04-04, 9827.722222222223
2016-04-05, 10125.3125
2016-04-06, 9690.166666666666
2016-04-07, 9532.791666666666
2016-04-08, 9636.5
2016-04-09, 9209.625
2016-04-10, 8788.75
2016-04-11, 9469.083333333334
2016-04-12, 9300.333333333334
2016-04-13, 9418.791666666666
2016-04-14, 9641.541666666666
2016-04-15, 9892.958333333334
2016-04-16, 8882.75
2016-04-17, 8550.625
2016-04-18, 9324.25
2016-04-19, 9439.333333333334
2016-04-20, 9513.375
2016-04-21, 9608.5
2016-04-22, 9727.625
2016-04-23, 9097.333333333334
2016-04-24, 8861.458333333334
2016-04-25, 9548.416666666666
2016-04-26, 9678.166666666666
2016-04-27, 9377.5
2016-04-28, 9380.083333333334
2016-04-29, 9245.208333333334
2016-04-30, 8501.5
2016-05-01, 8025.125
2016-05-02, 8811.916666666666
2016-05-03, 8524.541666666666
2016-05-04, 8690.958333333334
2016-05-05, 8084.625
2016-05-06, 8253.375
2016-05-07, 7838.833333333333
2016-05-08, 7494.958333333333
2016-05-09, 8177.083333333333
2016-05-10, 8041.954545454545
2016-05-11, 8069.041666666667
2016-05-12, 8349.958333333334
2016-05-13, 8482.708333333334
2016-05-14, 7982.708333333333
2016-05-15, 7774.25
2016-05-16, 8523.541666666666
2016-05-17, 8465.875
2016-05-18, 8611.666666666666
2016-05-19, 8562.916666666666
2016-05-20, 8540.333333333334
2016-05-21, 7729.791666666667
2016-05-22, 7420.458333333333
2016-05-23, 8092.333333333333
2016-05-24, 8026.0
2016-05-25, 7964.375
2016-05-26, 8142.291666666667
2016-05-27, 8306.583333333334
2016-05-28, 7641.958333333333
2016-05-29, 7437.041666666667
2016-05-30, 8356.208333333334
2016-05-31, 8299.791666666666
2016-06-01, 8347.541666666666
2016-06-02, 8412.375
2016-06-03, 8363.916666666666
2016-06-04, 7552.916666666667
2016-06-05, 7540.666666666667
2016-06-06, 8537.416666666666
2016-06-07, 8392.291666666666
2016-06-08, 8427.375
2016-06-09, 8579.583333333334
2016-06-10, 8661.333333333334
2016-06-11, 7968.0
2016-06-12, 7775.333333333333
2016-06-13, 8540.0
2016-06-14, 8448.208333333334
2016-06-15, 8307.833333333334
2016-06-16, 8310.958333333334
2016-06-17, 8444.166666666666
2016-06-18, 7783.416666666667
2016-06-19, 7384.5
2016-06-20, 7819.416666666667
2016-06-21, 7737.958333333333
2016-06-22, 7412.583333333333
2016-06-23, 7277.291666666667
2016-06-24, 6566.958333333333
2016-06-25, 6361.181818181818
2016-06-26, 6432.708333333333
2016-06-27, 7426.416666666667
2016-06-28, 7979.125
2016-06-29, 8082.833333333333
2016-06-30, 8179.541666666667
2016-07-01, 8280.208333333334
2016-07-02, 7648.166666666667
2016-07-03, 7496.25
